Date,Open,High,Low,Close,Adj Close,Volume
1985-12-09,3.117188,3.164063,3.117188,3.164063,1.351550,8024000
1985-12-10,3.156250,3.187500,3.132813,3.164063,1.351550,9427200
1985-12-11,3.164063,3.195313,3.148438,3.179688,1.358224,9067200
1985-12-12,3.195313,3.273438,3.195313,3.250000,1.388258,12702400
1985-12-13,3.273438,3.382813,3.257813,3.335938,1.424967,13984000
1985-12-16,3.335938,3.437500,3.304688,3.421875,1.461675,9078400
1985-12-17,3.429688,3.453125,3.351563,3.367188,1.438316,9672000
1985-12-18,3.359375,3.367188,3.250000,3.273438,1.398270,9604800
1985-12-19,3.265625,3.335938,3.265625,3.320313,1.418293,5539200
1985-12-20,3.296875,3.367188,3.281250,3.281250,1.401607,9369600
1985-12-23,3.289063,3.296875,3.218750,3.265625,1.394932,4908800
1985-12-24,3.257813,3.281250,3.226563,3.242188,1.384921,3619200
1985-12-26,3.257813,3.281250,3.218750,3.242188,1.384921,2614400
1985-12-27,3.257813,3.281250,3.250000,3.265625,1.394932,3870400
1985-12-30,3.312500,3.312500,3.250000,3.289063,1.404944,4001600
1985-12-31,3.296875,3.304688,3.273438,3.289063,1.404944,2764800
1986-01-02,3.281250,3.281250,3.234375,3.242188,1.384921,3331200
1986-01-03,3.234375,3.250000,3.218750,3.250000,1.388258,4051200
1986-01-06,3.250000,3.257813,3.226563,3.242188,1.384921,2403200
1986-01-07,3.257813,3.304688,3.250000,3.296875,1.408282,7350400
1986-01-08,3.312500,3.312500,3.218750,3.226563,1.378247,6348800
1986-01-09,3.187500,3.226563,3.117188,3.171875,1.354886,12763200
1986-01-10,3.187500,3.210938,3.156250,3.187500,1.361561,5996800
1986-01-13,3.171875,3.226563,3.164063,3.226563,1.378247,4760000
1986-01-14,3.242188,3.242188,3.210938,3.242188,1.384921,3760000
1986-01-15,3.234375,3.234375,3.195313,3.195313,1.364898,6379200
1986-01-16,3.210938,3.218750,3.093750,3.187500,1.361561,8044800
1986-01-17,3.187500,3.210938,3.140625,3.164063,1.351550,8678400
1986-01-20,3.171875,3.226563,3.156250,3.218750,1.374910,6088000
1986-01-21,3.226563,3.250000,3.164063,3.187500,1.361561,3630400
1986-01-22,3.156250,3.179688,3.109375,3.109375,1.328188,3654400
1986-01-23,3.093750,3.156250,3.085938,3.148438,1.344875,4627200
1986-01-24,3.156250,3.164063,3.078125,3.125000,1.334864,9916800
1986-01-27,3.148438,3.156250,3.109375,3.132813,1.338200,5054400
1986-01-28,3.125000,3.250000,3.125000,3.242188,1.384921,5124800
1986-01-29,3.250000,3.304688,3.210938,3.218750,1.374910,7275200
1986-01-30,3.234375,3.328125,3.218750,3.304688,1.411618,7804800
1986-01-31,3.312500,3.375000,3.304688,3.359375,1.434979,5491200
1986-02-03,3.359375,3.406250,3.335938,3.390625,1.448327,7785600
1986-02-04,3.398438,3.406250,3.312500,3.375000,1.441653,5118400
1986-02-05,3.375000,3.429688,3.367188,3.406250,1.455001,6404800
1986-02-06,3.421875,3.437500,3.351563,3.429688,1.465012,7227200
1986-02-07,3.375000,3.398438,3.312500,3.343750,1.428303,13936000
1986-02-10,3.351563,3.359375,3.218750,3.234375,1.381584,6936000
1986-02-11,3.046875,3.187500,3.000000,3.164063,1.351550,67872000
1986-02-12,3.179688,3.203125,3.093750,3.125000,1.334864,25072000
1986-02-13,3.140625,3.289063,3.132813,3.234375,1.381584,32256000
1986-02-14,2.937500,3.062500,2.859375,2.984375,1.274795,144672000
1986-02-18,2.953125,3.093750,2.953125,3.070313,1.311504,76464000
1986-02-19,3.062500,3.062500,2.984375,3.000000,1.281469,34128000
1986-02-20,2.992188,3.078125,2.984375,3.007813,1.284806,17600000
1986-02-21,3.023438,3.078125,3.000000,3.062500,1.308167,35008000
1986-02-24,3.109375,3.125000,3.039063,3.109375,1.337058,17440000
1986-02-25,3.125000,3.125000,3.062500,3.085938,1.326980,14552000
1986-02-26,3.046875,3.054688,2.992188,3.031250,1.303463,19840000
1986-02-27,3.062500,3.109375,3.031250,3.093750,1.330339,19200000
1986-02-28,3.156250,3.156250,3.093750,3.109375,1.337058,24960000
1986-03-03,3.117188,3.117188,3.078125,3.093750,1.330339,9900800
1986-03-04,3.117188,3.132813,3.078125,3.093750,1.330339,14750400
1986-03-05,3.046875,3.085938,3.007813,3.070313,1.320261,12078400
1986-03-06,3.093750,3.101563,3.046875,3.070313,1.320261,9177600
1986-03-07,3.085938,3.117188,3.054688,3.101563,1.333698,16000000
1986-03-10,3.093750,3.156250,3.093750,3.140625,1.350495,12057600
1986-03-11,3.140625,3.250000,3.140625,3.234375,1.390809,14345600
1986-03-12,3.242188,3.265625,3.210938,3.218750,1.384091,11384000
1986-03-13,3.187500,3.312500,3.187500,3.281250,1.410965,14750400
1986-03-14,3.281250,3.375000,3.273438,3.375000,1.451279,18240000
1986-03-17,3.343750,3.375000,3.296875,3.335938,1.434482,8993600
1986-03-18,3.312500,3.343750,3.304688,3.312500,1.424403,9144000
1986-03-19,3.328125,3.343750,3.312500,3.328125,1.431122,8240000
1986-03-20,3.343750,3.375000,3.335938,3.375000,1.451279,9801600
1986-03-21,3.421875,3.468750,3.375000,3.390625,1.457997,35568000
1986-03-24,3.421875,3.453125,3.414063,3.445313,1.481515,11912000
1986-03-25,3.445313,3.507813,3.429688,3.500000,1.505030,20000000
1986-03-26,3.500000,3.562500,3.476563,3.562500,1.531905,12784000
1986-03-27,3.625000,3.656250,3.578125,3.578125,1.538624,15667200
1986-03-31,3.593750,3.617188,3.570313,3.585938,1.541984,9992000
1986-04-01,3.609375,3.632813,3.484375,3.484375,1.498311,11451200
1986-04-02,3.492188,3.531250,3.468750,3.531250,1.518467,10305600
1986-04-03,3.539063,3.539063,3.453125,3.492188,1.501670,8784000
1986-04-04,3.476563,3.492188,3.312500,3.343750,1.437841,11462400
1986-04-07,3.328125,3.390625,3.304688,3.367188,1.447919,7476800
1986-04-08,3.437500,3.507813,3.421875,3.476563,1.494952,12676800
1986-04-09,3.750000,3.750000,3.617188,3.648438,1.568860,36608000
1986-04-10,3.750000,3.875000,3.734375,3.835938,1.649485,37488000
1986-04-11,3.968750,3.968750,3.835938,3.875000,1.666283,27024000
